obj1_feature_1,obj2_feature_1,obj1_feature_2,obj2_feature_2,obj1_feature_3,obj2_feature_3,obj1_feature_4,obj2_feature_4,collision
0,0,6,5,0.8363360827595309,0.5727579085175781,1,1,0
0,0,7,2,0.5764661305004889,0.030734910643543722,0,1,0
1,1,6,10,0.9142330963323176,0.28808332785075697,1,1,1
0,0,1,2,0.5686544142028781,0.14032674921200283,0,0,1
0,0,5,8,0.8237383750620061,0.6312290252641738,0,0,0
0,0,9,10,0.8417853818991875,0.4942590171833009,0,1,1
1,0,2,7,0.3688429242286584,0.7564124149114002,1,0,1
1,1,7,1,0.3167217367032301,0.013005111228090227,1,0,0
1,0,3,9,0.3059099361876705,0.9819150125348337,1,1,0
1,0,2,5,0.7982374649633707,0.8247135854489891,0,1,0
0,1,2,6,0.9445858419488177,0.874688178960375,0,0,1
1,0,5,6,0.716329792454087,0.2731755519307545,0,0,1
1,0,6,5,0.5490095833560854,0.27324334254410165,0,1,1
1,0,5,8,0.4349912004446239,0.7303311726228677,1,1,1
1,0,3,8,0.27134374170424413,0.3348915507662926,1,0,0
1,0,2,5,0.836782112098885,0.03960553992023741,0,0,1
1,1,10,3,0.1428914906121983,0.8652833788306173,1,1,1
1,0,4,8,0.49745474202462325,0.0917517072784364,1,1,1
1,1,2,4,0.890721488691028,0.5765833879068599,1,1,1
1,0,6,7,0.7397254511881836,0.0425121693315168,0,1,0
1,0,8,2,0.3417427219696326,0.6209579730150613,1,0,0
0,1,3,10,0.3521855913195743,0.4595111570232141,0,0,1
1,1,4,8,0.07319637060420847,0.2816965443310244,1,0,0
1,0,8,1,0.2592683667153449,0.5376876936317065,0,1,0
1,1,2,6,0.7607908547573771,0.012075180576942457,1,1,1
1,1,10,3,0.10421494299385348,0.5172772634687189,0,0,1
0,0,9,5,0.1339850121106827,0.6907666239923401,0,1,1
1,1,5,3,0.5961828568147309,0.6008705115874435,1,1,0
1,1,7,1,0.40050572265439743,0.8663039135148303,0,1,1
0,1,4,2,0.058949312958491595,0.6029112381635293,0,1,1
0,1,4,4,0.11801417201830622,0.940662562403948,0,0,1
0,0,1,2,0.9475420142826961,0.20851309678642282,0,0,0
1,0,1,5,0.39234104766913547,0.2777592183089366,0,1,0
0,0,2,9,0.11542992986788292,0.4800492911423302,1,1,0
1,0,10,9,0.2725148668906491,0.5804154261874478,1,0,1
0,0,10,3,0.02736105273801659,0.6326557603137234,0,1,0
0,0,7,8,0.20430651214917173,0.9831435353380383,0,1,1
1,1,9,2,0.13025499620813985,0.9025204152307752,1,1,0
1,1,8,1,0.7771857518776567,0.36893208320487825,1,1,1
0,0,5,7,0.26505415100461194,0.06481374753964309,0,0,1
1,0,8,7,0.7816767546132428,0.7837393122767146,1,1,0
0,0,4,10,0.013537612340671745,0.05552222544460228,0,0,1
1,0,5,7,0.3435612532382545,0.130156188134126,0,0,1
1,0,5,9,0.6684477049898186,0.9210054445557138,0,1,0
0,1,4,8,0.3048427721157646,0.12162521102742163,0,0,1
0,1,10,2,0.947214351461906,0.1393094410780943,1,1,1
1,0,3,8,0.4218259345706801,0.07826170567248458,1,1,1
1,0,4,2,0.6959787697138813,0.7879962885417969,1,0,0
0,0,6,4,0.31627227656114065,0.3086604343918914,1,1,0
0,0,5,1,0.7250485421033666,0.6211852206604868,0,0,0
0,1,5,3,0.1799207213871663,0.8462924226919302,0,1,0
1,1,3,5,0.5756375442267347,0.12283572134577392,1,0,0
0,1,10,5,0.9592948881536444,0.5881219588941808,0,1,1
1,0,7,10,0.6881771128266679,0.7224821992152265,1,0,1
1,1,5,4,0.558497217099009,0.5184866092988416,1,0,1
0,1,9,9,0.6992578257086645,0.8080909991881722,0,0,0
0,0,10,2,0.04618414570310014,0.5590349146546815,1,1,0
0,1,3,6,0.3977625371515283,0.7210243327644181,1,0,0
1,0,8,9,0.14984146975921664,0.7308844684420281,0,1,1
0,1,1,10,0.26277553830318534,0.33620133015746834,1,0,0
1,1,5,2,0.07676232309723585,0.8517527663753391,1,0,0
1,1,6,2,0.32601668516351945,0.9660819673212631,1,0,1
0,1,8,5,0.1537612940358628,0.6885867071892766,1,0,1
0,1,8,3,0.7614968162340201,0.9963056501696491,1,1,0
1,0,1,2,0.15468603304527262,0.1408135221237924,1,1,0
1,1,1,9,0.4600685044909394,0.8869647422483389,0,1,1
1,1,6,5,0.8846885832303704,0.8640894985543405,1,0,1
1,0,1,10,0.3212820441314964,0.7292271043977113,1,1,1
1,0,3,5,0.09604541375887155,0.9452671915389179,1,0,0
1,0,1,7,0.8336076704810517,0.5820468008523041,1,0,1
1,1,5,2,0.6394192864284415,0.3626378076930319,0,1,0
1,0,5,2,0.8544669842018455,0.641685115193029,1,1,0
0,0,8,7,0.481502767918754,0.19822123146216886,1,1,1
0,1,3,4,0.3895431619452461,0.018467353655388763,1,0,0
0,0,10,4,0.5074871723171684,0.40170819790794365,1,0,1
1,0,1,8,0.19735852759957528,0.4727449882746968,0,1,1
1,0,9,5,0.9178913262834973,0.8242948826986822,0,1,0
0,1,3,3,0.6425439356430486,0.7051272125511522,1,0,1
0,1,5,10,0.26269873376921227,0.8840700836269535,1,0,0
1,1,4,6,0.6836144270532774,0.611610836881878,1,1,1
1,0,8,9,0.8602790741374368,0.7462325609422121,1,0,0
1,1,5,2,0.8560496307729922,0.8590931667868476,0,0,1
0,1,3,5,0.7605187427103809,0.9910652631556,0,0,1
0,1,2,5,0.06876852391516719,0.3124026382178683,0,1,1
0,1,1,1,0.2290612332667995,0.8144314620047557,1,0,1
0,0,4,4,0.781785953397766,0.6956181089699401,1,0,0
1,1,10,1,0.8765549265080206,0.8129130173581336,1,0,1
0,1,9,4,0.630524554159293,0.055383077965660665,1,1,1
1,1,9,4,0.3733612082175104,0.6327573274083591,0,0,1
0,1,10,2,0.600680589486672,0.27544914638056817,0,0,0
1,1,5,7,0.01805267986489678,0.33264495584050313,0,0,0
1,1,7,10,0.8011383510828444,0.0764039656709522,0,1,0
1,0,9,10,0.3146962791597251,0.6533652448428949,1,1,1
0,1,2,2,0.47497814283704476,0.8781223390872266,0,0,1
1,0,10,6,0.7281191025781231,0.4099640103650847,0,1,0
1,1,1,4,0.8059441941165989,0.58795864334789,1,1,1
1,0,1,10,0.25713138995320095,0.36431758368260747,0,1,0
0,0,8,9,0.6140116696702721,0.5432018733617395,1,1,1
1,0,5,1,0.13833175301278633,0.5779620860930306,0,1,0
0,1,2,2,0.1474783324383242,0.8236595485804189,0,1,1
1,1,6,9,0.25060434699306755,0.08270093515250787,0,0,1
0,0,8,8,0.692189240270375,0.3791499798225044,1,0,1
1,0,1,8,0.801017256651783,0.5153389469146274,1,0,1
0,1,8,7,0.0058648391042182,0.12760252092447288,0,0,1
1,0,10,10,0.4148439143435779,0.17424364679009752,1,1,1
0,1,8,8,0.055205106714515284,0.30941053994730494,1,1,1
0,1,2,7,0.1662278412562035,0.5867022072089847,0,1,0
1,1,9,3,0.05520133171982089,0.34558180812462613,1,0,1
0,0,8,2,0.15229795715782957,0.30609075874635383,0,0,0
0,1,1,9,0.897903825588467,0.16390742449389417,0,1,1
0,1,10,10,0.15516412379717548,0.5258343528523884,0,0,1
0,0,2,8,0.48011622157840206,0.9194969736851937,1,0,0
0,0,8,2,0.6039535644225321,0.7246072336319771,1,1,0
1,1,10,5,0.6811902324943602,0.9248364801116404,0,0,1
0,1,6,6,0.20945284811570153,0.7237650721465433,1,0,0
1,0,9,10,0.7614181256448977,0.7769815815855083,0,1,1
1,0,3,9,0.09917084105359886,0.06454019496105734,1,1,0
1,0,9,8,0.8305879099893241,0.21763990685270163,0,0,1
0,0,5,10,0.791397537654236,0.6051780374203656,0,1,0
0,1,6,2,0.42345214426114897,0.12426000544089155,1,1,0
1,1,4,6,0.49197296740702445,0.3067330526712556,0,0,0
1,1,5,8,0.6256791696956154,0.23084457051199048,0,0,0
0,0,4,2,0.8115874049242623,0.9875481562058597,0,0,0
0,1,6,9,0.9566415089707252,0.09969782693854512,1,1,0
1,1,10,8,0.2409211208446801,0.3659861028358816,1,0,1
1,1,2,2,0.0695160320161099,0.6809316646519393,1,1,0
0,0,4,7,0.3925191674722849,0.061719520114103754,0,0,0
1,0,5,10,0.4170473670783563,0.7328071588602515,1,1,0
0,0,6,2,0.8719806634216443,0.21925772733411686,1,1,1
1,1,3,1,0.46827981422910425,0.5194958123075986,0,0,1
0,1,9,4,0.6467985114570504,0.5431320337601795,0,0,1
0,0,9,4,0.0542388741544253,0.16424265437731966,1,0,0
0,0,4,5,0.9929842027384574,0.5841986662388219,0,1,1
0,1,9,4,0.48718074084906193,0.5268649485798714,0,0,0
0,0,5,10,0.9787062651190495,0.446931756590068,0,1,1
1,1,3,1,0.3415985924190921,0.45935323507223114,1,0,1
0,1,1,3,0.6590535618953864,0.7805118145212686,1,1,1
1,1,6,3,0.32517708470336804,0.09499972325846762,1,1,0
1,1,6,9,0.2696503888342493,0.4107401487372677,1,0,0
0,0,5,5,0.4756312408024811,0.6152204608645337,0,0,0
1,1,2,9,0.037739959116446564,0.913552899226509,0,0,1
1,1,2,5,0.11786736832379652,0.29615980875426406,1,1,0
0,0,9,8,0.8487324913141223,0.5941574300020969,1,0,1
1,0,9,3,0.23679223195481225,0.25018921070323297,0,0,0
0,1,10,7,0.5574996327418904,0.08575466134719378,0,0,0
1,0,1,9,0.9636668916935303,0.5110646779148215,0,1,1
1,0,8,7,0.6751336696038714,0.6910316434231363,0,1,0
0,1,6,3,0.042240023813566396,0.10839987338019197,0,0,1
0,1,2,3,0.5895387783049737,0.546670982390529,1,0,0
1,1,8,4,0.6750062528241244,0.6601922698490156,0,1,1
0,0,6,1,0.7286388382269801,0.9653528213251752,0,1,1
1,1,6,2,0.7092612992211778,0.32012548152305365,0,1,0
0,1,1,4,0.08242553409910847,0.38638099249179647,1,0,1
1,0,8,9,0.415268987699683,0.7808340618045101,1,0,1
1,0,7,2,0.10580520677063265,0.9051705405620367,0,1,0
1,1,4,3,0.5258131291139211,0.27317113480218125,0,1,0
0,1,9,3,0.8859822504672596,0.6391682098013521,1,0,0
1,1,8,9,0.14705630724071228,0.4554122586884144,1,1,1
1,0,4,2,0.2829882511396232,0.9946324215554215,1,0,0
0,0,6,6,0.5874226519862963,0.41980214945988814,1,0,1
0,0,4,3,0.07856429785306018,0.06972780306144244,0,0,0
0,1,6,8,0.6907676214562493,0.25969559851873647,1,1,0
0,0,9,5,0.8087142339639131,0.21390710141252323,1,0,1
1,0,6,7,0.19242086798549196,0.4460795552417606,1,0,1
1,0,9,5,0.007483447111170771,0.9051780022717992,0,1,0
1,1,6,2,0.5768717588955025,0.09166278872157752,1,0,0
1,1,8,6,0.13137117929608144,0.762821251980371,0,1,1
0,0,1,3,0.27246114546941813,0.7824219856006187,1,1,0
1,1,5,6,0.9644654247956893,0.13943233405662492,1,0,0
1,0,8,6,0.7414604962798534,0.8776053894256893,1,1,1
1,1,9,7,0.701299574688588,0.8387280680807746,0,0,0
0,0,1,1,0.8533963634673081,0.2638128857367782,0,1,0
