obj1_feature_1,obj2_feature_1,obj1_feature_2,obj2_feature_2,obj1_feature_3,obj2_feature_3,obj1_feature_4,obj2_feature_4,obj1_feature_5,obj2_feature_5,obj1_feature_6,obj2_feature_6,obj1_feature_7,obj2_feature_7,obj1_feature_8,obj2_feature_8,collision
0,0,7,6,0.04529680691316418,0.5560018927723042,0,0,5,6,0.25292931275674024,0.14043668661417574,0,0,4,9,1
0,1,3,2,0.12826566052052846,0.357767754228864,0,0,5,3,0.9787912402735633,0.5471797278325149,1,1,1,5,0
0,1,6,3,0.4093408025444295,0.027927693738161286,0,1,4,7,0.8689999058872071,0.17642691515552422,1,0,7,1,0
1,0,8,2,0.8788989525025802,0.05294661511342624,0,1,3,10,0.15699891364295626,0.5598137708832808,1,1,1,3,0
1,0,4,9,0.08765053999684702,0.5296531523249519,0,0,6,3,0.5664598763456385,0.5876483901792586,1,1,2,3,0
1,1,10,8,0.30823776197065045,0.29193646336897194,0,1,10,9,0.7166157118491218,0.5570370816673565,0,1,4,5,1
0,1,10,3,0.929540698713092,0.6342031442890057,0,0,2,4,0.9368058163639452,0.31697823796038493,1,0,2,2,0
1,1,4,8,0.18332886920043567,0.7582902373498928,1,1,10,9,0.5250046643452059,0.9464138372273517,1,0,2,9,1
0,0,2,5,0.363720363694903,0.29391721120172043,1,0,3,7,0.9764083545697553,0.34520720629126034,0,0,8,8,1
0,0,10,2,0.8111908711784945,0.9423795269685097,1,1,9,7,0.11313763424969336,0.30501530088644135,1,0,2,7,1
0,0,9,10,0.8431523087471907,0.15332645649762744,0,1,7,7,0.25131160244932393,0.2076854130854151,0,0,1,8,0
0,0,3,4,0.6692965727112391,0.2278384592022562,1,0,9,3,0.9433675156183922,0.8393765977190125,1,1,5,6,0
0,1,2,3,0.22574475284589712,0.26353222843379465,1,0,5,8,0.15280791793539183,0.2464625408798028,0,0,5,4,0
0,1,7,9,0.45341904684823386,0.963758134527294,1,0,9,4,0.06500730783843667,0.44064827536365936,0,1,3,1,0
0,1,5,6,0.7557048702406348,0.04644187227445207,1,0,8,2,0.09258799138245677,0.7299573418260741,0,0,3,2,1
1,1,5,6,0.877316863556898,0.5210669493289564,1,0,6,8,0.30763230460504076,0.061919961239294996,0,1,2,9,1
0,1,4,5,0.9359877212653469,0.5468879878720642,1,0,7,4,0.3028395755780653,0.5570639215097728,0,0,5,9,1
0,0,8,2,0.9773036363687557,0.8906545954247378,0,0,2,6,0.34192443132308736,0.390439165267652,0,0,9,4,1
1,0,9,5,0.9357242599213077,0.08442900949759857,0,0,10,4,0.9010907636982556,0.8162344650860278,1,0,6,6,1
1,1,4,9,0.7906480417761094,0.17728454869844945,0,1,6,7,0.9059942434700341,0.1969236810665418,1,0,3,9,0
1,1,2,6,0.27513787133595347,0.2905704734803253,1,1,8,8,0.8570646926944779,0.31496289429912516,0,1,7,1,1
0,0,8,1,0.01766152355784667,0.43588827920275386,0,1,10,10,0.22788050945273308,0.1703869238651461,1,1,5,7,1
1,0,1,1,0.5242066718881794,0.5438523218381102,0,0,3,8,0.7775539672940208,0.9629752366842855,1,0,5,2,0
1,1,8,3,0.26481700770435057,0.1180371640586606,0,0,7,8,0.909528901629711,0.4631783790294328,0,0,8,6,0
